院校名称,院校代码,所在地区,院校主管部门,院校层次,院校满意度
上海邦德职业技术学院,12913,上海,上海市教育委员会,高职(专科),N/A
上海兴伟学院,12914,上海,上海市教育委员会,本科,3.8
上海中侨职业技术大学,12915,上海,上海市教育委员会,本科,3.7
上海视觉艺术学院,13632,上海,上海市教育委员会,本科,4.3
上海外国语大学贤达经济人文学院,13636,上海,上海市教育委员会,本科,2.8
上海电影艺术职业学院,13747,上海,上海市教育委员会,高职(专科),N/A
上海师范大学天华学院,13893,上海,上海市教育委员会,本科,3.4
上海民航职业技术学院,14394,上海,中国民用航空局,高职(专科),3.4
上海科技大学,14423,上海,上海市教育委员会,本科,4.6
上海科创职业技术学院,14778,上海,上海市教育委员会,高职(专科),N/A
上海闵行职业技术学院,14779,上海,上海市教育委员会,高职(专科),N/A
上海现代化工职业学院,14780,上海,上海市教育委员会,高职(专科),N/A
上海建设管理职业技术学院,14781,上海,上海市教育委员会,高职(专科),N/A
上海浦东职业技术学院,14840,上海,上海市教育委员会,高职(专科),N/A
上海纽约大学,16404,上海,上海市教育委员会,本科,4.8
复旦大学医学院,19246,上海,教育部,本科,N/A
上海交通大学医学院,19248,上海,教育部,本科,N/A
上海南湖职业技术学院,50371,上海,上海市教育委员会,高职(专科),N/A
海军军医大学,91020,上海,中央军委训练管理部,本科,N/A
南京大学,10284,江苏,教育部,本科,4.8
苏州大学,10285,江苏,江苏省教育厅,本科,4.3
东南大学,10286,江苏,教育部,本科,4.5
南京航空航天大学,10287,江苏,工业和信息化部,本科,4.5
南京理工大学,10288,江苏,工业和信息化部,本科,4.5
江苏科技大学,10289,江苏,江苏省教育厅,本科,4.0
中国矿业大学,10290,江苏,教育部,本科,4.6
南京工业大学,10291,江苏,江苏省教育厅,本科,4.3
常州大学,10292,江苏,江苏省教育厅,本科,4.3
南京邮电大学,10293,江苏,江苏省教育厅,本科,4.4
河海大学,10294,江苏,教育部,本科,4.2
江南大学,10295,江苏,教育部,本科,4.4
南京林业大学,10298,江苏,江苏省教育厅,本科,4.4
江苏大学,10299,江苏,江苏省教育厅,本科,4.3
南京信息工程大学,10300,江苏,江苏省教育厅,本科,4.3
江苏城市职业学院,10301,江苏,江苏省教育厅,高职(专科),3.5
南通大学,10304,江苏,江苏省教育厅,本科,4.4
盐城工学院,10305,江苏,江苏省教育厅,本科,4.3
南京农业大学,10307,江苏,教育部,本科,4.4
南京医科大学,10312,江苏,江苏省教育厅,本科,4.1
徐州医科大学,10313,江苏,江苏省教育厅,本科,4.0
南京中医药大学,10315,江苏,江苏省教育厅,本科,4.2
中国药科大学,10316,江苏,教育部,本科,4.3
南京师范大学,10319,江苏,江苏省教育厅,本科,4.5
江苏师范大学,10320,江苏,江苏省教育厅,本科,4.3
淮阴师范学院,10323,江苏,江苏省教育厅,本科,4.3
盐城师范学院,10324,江苏,江苏省教育厅,本科,4.1
南京财经大学,10327,江苏,江苏省教育厅,本科,4.4
江苏警官学院,10329,江苏,江苏省教育厅,本科,4.4
南京体育学院,10330,江苏,江苏省教育厅,本科,4.0
南京艺术学院,10331,江苏,江苏省教育厅,本科,4.4
苏州科技大学,10332,江苏,江苏省教育厅,本科,3.9
常熟理工学院,10333,江苏,江苏省教育厅,本科,4.3
明达职业技术学院,10826,江苏,江苏省教育厅,高职(专科),3.9
无锡职业技术学院,10848,江苏,江苏省教育厅,高职(专科),4.2
江苏建筑职业技术学院,10849,江苏,江苏省教育厅,高职(专科),4.6
南京工业职业技术大学,10850,江苏,江苏省教育厅,本科,4.3
江苏工程职业技术学院,10958,江苏,江苏省教育厅,高职(专科),4.2
苏州工艺美术职业技术学院,10960,江苏,江苏省教育厅,高职(专科),4.5
金陵科技学院,11048,江苏,江苏省教育厅,本科,4.3
淮阴工学院,11049,江苏,江苏省教育厅,本科,4.1
连云港职业技术学院,11050,江苏,江苏省教育厅,高职(专科),4.2
镇江市高等专科学校,11051,江苏,江苏省教育厅,高职(专科),3.7
南通职业大学,11052,江苏,江苏省教育厅,高职(专科),4.2
徐州工程学院,11053,江苏,江苏省教育厅,本科,4.3
苏州职业大学,11054,江苏,江苏省教育厅,高职(专科),4.3
常州工学院,11055,江苏,江苏省教育厅,本科,4.1
扬州大学,11117,江苏,江苏省教育厅,本科,4.4
三江学院,11122,江苏,江苏省教育厅,本科,4.4
南京工程学院,11276,江苏,江苏省教育厅,本科,4.3
南京审计大学,11287,江苏,江苏省教育厅,本科,4.0
沙洲职业工学院,11288,江苏,江苏省教育厅,高职(专科),4.4
南京晓庄学院,11460,江苏,江苏省教育厅,本科,4.1
扬州市职业大学,11462,江苏,江苏省教育厅,高职(专科),4.3
江苏理工学院,11463,江苏,江苏省教育厅,本科,4.1
南京警察学院,11466,江苏,公安部,本科,4.7
江苏海洋大学,11641,江苏,江苏省教育厅,本科,4.3
连云港师范高等专科学校,11939,江苏,江苏省教育厅,高职(专科),4.2
泰州学院,11957,江苏,江苏省教育厅,本科,4.1
江苏经贸职业技术学院,12047,江苏,江苏省教育厅,高职(专科),4.3
南京特殊教育师范学院,12048,江苏,江苏省教育厅,本科,4.1
九州职业技术学院,12054,江苏,江苏省教育厅,高职(专科),4.1
南通理工学院,12056,江苏,江苏省教育厅,本科,4.0
硅湖职业技术学院,12078,江苏,江苏省教育厅,高职(专科),3.6
泰州职业技术学院,12106,江苏,江苏省教育厅,高职(专科),4.3
常州信息职业技术学院,12317,江苏,江苏省教育厅,高职(专科),4.3
江苏海事职业技术学院,12679,江苏,江苏省教育厅,高职(专科),4.0
应天职业技术学院,12680,江苏,江苏省教育厅,高职(专科),4.0
无锡科技职业学院,12681,江苏,江苏省教育厅,高职(专科),3.9
江苏医药职业学院,12682,江苏,江苏省教育厅,高职(专科),4.2
南通科技职业学院,12684,江苏,江苏省教育厅,高职(专科),4.1
苏州经贸职业技术学院,12685,江苏,江苏省教育厅,高职(专科),4.3
苏州工业职业技术学院,12686,江苏,江苏省教育厅,高职(专科),4.3
苏州托普信息职业技术学院,12687,江苏,江苏省教育厅,高职(专科),3.3
苏州卫生职业技术学院,12688,江苏,江苏省教育厅,高职(专科),4.3
东南大学成贤学院,12689,江苏,江苏省教育厅,本科,3.6
无锡商业职业技术学院,12702,江苏,江苏省教育厅,高职(专科),4.3
江苏航运职业技术学院,12703,江苏,江苏省教育厅,高职(专科),4.4
南京交通职业技术学院,12804,江苏,江苏省教育厅,高职(专科),4.4
江苏电子信息职业学院,12805,江苏,江苏省教育厅,高职(专科),4.4
江苏农牧科技职业学院,12806,江苏,江苏省教育厅,高职(专科),4.4
常州纺织服装职业技术学院,12807,江苏,江苏省教育厅,高职(专科),4.3
苏州农业职业技术学院,12808,江苏,江苏省教育厅,高职(专科),4.2
苏州工业园区职业技术学院,12809,江苏,江苏省教育厅,高职(专科),3.0
太湖创意职业技术学院,12918,江苏,江苏省教育厅,高职(专科),N/A
炎黄职业技术学院,12919,江苏,江苏省教育厅,高职(专科),4.2
南京科技职业学院,12920,江苏,江苏省教育厅,高职(专科),4.0
正德职业技术学院,12921,江苏,江苏省教育厅,高职(专科),4.1
钟山职业技术学院,12922,江苏,江苏省教育厅,高职(专科),3.6
无锡南洋职业技术学院,12923,江苏,江苏省教育厅,高职(专科),3.5
江南影视艺术职业学院,13017,江苏,江苏省教育厅,高职(专科),2.4
金肯职业技术学院,13100,江苏,江苏省教育厅,高职(专科),3.8
常州工业职业技术学院,13101,江苏,江苏省教育厅,高职(专科),4.3
常州工程职业技术学院,13102,江苏,江苏省教育厅,高职(专科),4.5
江苏农林职业技术学院,13103,江苏,江苏省教育厅,高职(专科),4.4
江苏食品药品职业技术学院,13104,江苏,江苏省教育厅,高职(专科),4.3
建东职业技术学院,13105,江苏,江苏省教育厅,高职(专科),3.4
南京铁道职业技术学院,13106,江苏,江苏省教育厅,高职(专科),4.2
徐州工业职业技术学院,13107,江苏,江苏省教育厅,高职(专科),4.1
江苏信息职业技术学院,13108,江苏,江苏省教育厅,高职(专科),3.9
宿迁职业技术学院,13110,江苏,江苏省教育厅,高职(专科),3.5
南京信息职业技术学院,13112,江苏,江苏省教育厅,高职(专科),4.2
江海职业技术学院,13113,江苏,江苏省教育厅,高职(专科),3.9
常州机电职业技术学院,13114,江苏,江苏省教育厅,高职(专科),4.1
江阴职业技术学院,13137,江苏,江苏省教育厅,高职(专科),4.0
无锡太湖学院,13571,江苏,江苏省教育厅,本科,3.2
中国矿业大学徐海学院,13579,江苏,江苏省教育厅,本科,4.1
南京理工大学紫金学院,13654,江苏,江苏省教育厅,本科,3.7
南京航空航天大学金城学院,13655,江苏,江苏省教育厅,本科,3.6
南京传媒学院,13687,江苏,江苏省教育厅,本科,4.4
无锡城市职业技术学院,13748,江苏,江苏省教育厅,高职(专科),4.0
无锡工艺职业技术学院,13749,江苏,江苏省教育厅,高职(专科),4.2
金山职业技术学院,13750,江苏,江苏省教育厅,高职(专科),3.4
苏州健雄职业技术学院,13751,江苏,江苏省教育厅,高职(专科),4.1
盐城工业职业技术学院,13752,江苏,江苏省教育厅,高职(专科),4.1
江苏财经职业技术学院,13753,江苏,江苏省教育厅,高职(专科),4.3
扬州工业职业技术学院,13754,江苏,江苏省教育厅,高职(专科),4.2
南京理工大学泰州科技学院,13842,江苏,江苏省教育厅,本科,3.8
南京师范大学泰州学院,13843,江苏,江苏省教育厅,本科,4.0
南京工业大学浦江学院,13905,江苏,江苏省教育厅,本科,3.9
南京师范大学中北学院,13906,江苏,江苏省教育厅,本科,3.8
苏州百年职业学院,13962,江苏,江苏省教育厅,高职(专科),3.9
昆山登云科技职业学院,13963,江苏,江苏省教育厅,高职(专科),3.5
南京视觉艺术职业学院,13964,江苏,江苏省教育厅,高职(专科),3.3
南京医科大学康达学院,13980,江苏,江苏省教育厅,本科,4.0
无锡学院,13982,江苏,江苏省教育厅,本科,4.0
苏州城市学院,13983,江苏,江苏省教育厅,本科,4.3
苏州大学应用技术学院,13984,江苏,江苏省教育厅,本科,4.1
苏州科技大学天平学院,13985,江苏,江苏省教育厅,本科,3.6
江苏大学京江学院,13986,江苏,江苏省教育厅,本科,4.0
扬州大学广陵学院,13987,江苏,江苏省教育厅,本科,4.3
江苏师范大学科文学院,13988,江苏,江苏省教育厅,本科,3.8
南京邮电大学通达学院,13989,江苏,江苏省教育厅,本科,4.0
南京财经大学红山学院,13990,江苏,江苏省教育厅,本科,3.7
江苏科技大学苏州理工学院,13991,江苏,江苏省教育厅,本科,4.1
常州大学怀德学院,13992,江苏,江苏省教育厅,本科,3.7
南通大学杏林学院,13993,江苏,江苏省教育厅,本科,3.8
南京审计大学金审学院,13994,江苏,江苏省教育厅,本科,3.8
南京机电职业技术学院,14056,江苏,江苏省教育厅,高职(专科),3.3
宿迁学院,14160,江苏,江苏省教育厅,本科,4.2
苏州高博职业学院,14163,江苏,江苏省教育厅,高职(专科),3.6
南京旅游职业学院,14180,江苏,江苏省教育厅,高职(专科),3.8
江苏卫生健康职业学院,14255,江苏,江苏省教育厅,高职(专科),4.2
苏州信息职业技术学院,14256,江苏,江苏省教育厅,高职(专科),4.1
宿迁泽达职业技术学院,14293,江苏,江苏省教育厅,高职(专科),3.1
苏州工业园区服务外包职业学院,14295,江苏,江苏省教育厅,高职(专科),4.2
徐州幼儿师范高等专科学校,14329,江苏,江苏省教育厅,高职(专科),3.7
徐州生物工程职业技术学院,14401,江苏,江苏省教育厅,高职(专科),3.9
南京城市职业学院,14422,江苏,江苏省教育厅,高职(专科),3.6
江苏第二师范学院,14436,江苏,江苏省教育厅,本科,4.2
江苏商贸职业学院,14475,江苏,江苏省教育厅,高职(专科),3.7
南通师范高等专科学校,14493,江苏,江苏省教育厅,高职(专科),N/A
扬州中瑞酒店职业学院,14528,江苏,江苏省教育厅,高职(专科),N/A
江苏护理职业学院,14541,江苏,江苏省教育厅,高职(专科),4.2
江苏财会职业学院,14542,江苏,江苏省教育厅,高职(专科),4.2
江苏城乡建设职业学院,14543,江苏,江苏省教育厅,高职(专科),4.1
江苏航空职业技术学院,14568,江苏,江苏省教育厅,高职(专科),3.3
江苏安全技术职业学院,14589,江苏,江苏省教育厅,高职(专科),3.6
江苏旅游职业学院,14604,江苏,江苏省教育厅,高职(专科),3.9
常州幼儿师范高等专科学校,14773,江苏,江苏省教育厅,高职(专科),N/A
江苏司法警官职业学院,14841,江苏,江苏省教育厅,高职(专科),N/A
盐城农业科技职业学院,14853,江苏,江苏省教育厅,高职(专科),N/A
宿迁幼儿师范高等专科学校,14854,江苏,江苏省教育厅,高职(专科),N/A
无锡师范高等专科学校,14855,江苏,江苏省教育厅,高职(专科),N/A
盐城幼儿师范高等专科学校,15466,江苏,江苏省教育厅,高职(专科),N/A
苏州幼儿师范高等专科学校,15583,江苏,江苏省教育厅,高职(专科),N/A
西交利物浦大学,16302,江苏,江苏省教育厅,本科,4.7
昆山杜克大学,16406,江苏,江苏省教育厅,本科,N/A
中国人民大学(苏州校区),19002,江苏,教育部,本科,N/A
陆军工程大学,91004,江苏,中央军委训练管理部,本科,N/A
浙江大学,10335,浙江,教育部,本科,4.7
杭州电子科技大学,10336,浙江,浙江省教育厅,本科,4.5
浙江工业大学,10337,浙江,浙江省教育厅,本科,4.5
浙江理工大学,10338,浙江,浙江省教育厅,本科,4.3
浙江海洋大学,10340,浙江,浙江省教育厅,本科,4.1
浙江农林大学,10341,浙江,浙江省教育厅,本科,4.4
温州医科大学,10343,浙江,浙江省教育厅,本科,4.2
浙江中医药大学,10344,浙江,浙江省教育厅,本科,3.8
浙江师范大学,10345,浙江,浙江省教育厅,本科,4.5
杭州师范大学,10346,浙江,浙江省教育厅,本科,4.4
湖州师范学院,10347,浙江,浙江省教育厅,本科,4.2
绍兴文理学院,10349,浙江,浙江省教育厅,本科,4.2
台州学院,10350,浙江,浙江省教育厅,本科,4.1
温州大学,10351,浙江,浙江省教育厅,本科,4.4
丽水学院,10352,浙江,浙江省教育厅,本科,4.2
浙江工商大学,10353,浙江,浙江省教育厅,本科,4.4
嘉兴大学,10354,浙江,浙江省教育厅,本科,4.2
中国美术学院,10355,浙江,浙江省教育厅,本科,4.3
中国计量大学,10356,浙江,浙江省教育厅,本科,4.4
宁波职业技术学院,10863,浙江,浙江省教育厅,高职(专科),4.4
温州职业技术学院,10864,浙江,浙江省教育厅,高职(专科),4.3
浙江万里学院,10876,浙江,浙江省教育厅,本科,4.2
浙江科技大学,11057,浙江,浙江省教育厅,本科,4.3
宁波工程学院,11058,浙江,浙江省教育厅,本科,4.0
浙江水利水电学院,11481,浙江,浙江省教育厅,本科,4.6
浙江财经大学,11482,浙江,浙江省教育厅,本科,4.3
浙江警察学院,11483,浙江,浙江省教育厅,本科,4.0
衢州学院,11488,浙江,浙江省教育厅,本科,4.3
宁波大学,11646,浙江,浙江省教育厅,本科,4.3
浙江传媒学院,11647,浙江,浙江省教育厅,本科,4.2
浙江树人学院,11842,浙江,浙江省教育厅,本科,4.2
浙江交通职业技术学院,12036,浙江,浙江省教育厅,高职(专科),4.2
金华职业技术大学,12061,浙江,浙江省教育厅,本科,4.4
宁波城市职业技术学院,12645,浙江,浙江省教育厅,高职(专科),4.1
浙江同济科技职业学院,12647,浙江,浙江省教育厅,高职(专科),3.6
浙江工商职业技术学院,12789,浙江,浙江省教育厅,高职(专科),4.0
台州职业技术学院,12790,浙江,浙江省教育厅,高职(专科),4.2
浙江工贸职业技术学院,12791,浙江,浙江省教育厅,高职(专科),4.1
浙江越秀外国语学院,12792,浙江,浙江省教育厅,本科,3.8
浙江机电职业技术大学,12861,浙江,浙江省教育厅,本科,4.2
浙江建设职业技术学院,12862,浙江,浙江省教育厅,高职(专科),4.2
浙江艺术职业学院,12863,浙江,浙江省教育厅,高职(专科),4.2
浙江经贸职业技术学院,12864,浙江,浙江省教育厅,高职(专科),4.3
浙江商业职业技术学院,12865,浙江,浙江省教育厅,高职(专科),4.2
浙江经济职业技术学院,12866,浙江,浙江省教育厅,高职(专科),4.2
浙江旅游职业学院,12867,浙江,浙江省教育厅,高职(专科),4.3
浙江育英职业技术学院,12868,浙江,浙江省教育厅,高职(专科),3.4
浙江警官职业学院,12869,浙江,浙江省教育厅,高职(专科),4.1
浙江金融职业学院,12870,浙江,浙江省教育厅,高职(专科),4.5
浙江工业职业技术学院,12871,浙江,浙江省教育厅,高职(专科),4.2
杭州职业技术学院,12872,浙江,浙江省教育厅,高职(专科),4.3
嘉兴职业技术学院,12874,浙江,浙江省教育厅,高职(专科),4.0
湖州职业技术学院,12875,浙江,浙江省教育厅,高职(专科),4.2
绍兴职业技术学院,12876,浙江,浙江省教育厅,高职(专科),4.1
衢州职业技术学院,12877,浙江,浙江省教育厅,高职(专科),4.2
丽水职业技术学院,12878,浙江,浙江省教育厅,高职(专科),4.2
宁波财经学院,13001,浙江,浙江省教育厅,本科,3.9
浙江东方职业技术学院,13002,浙江,浙江省教育厅,高职(专科),3.9
义乌工商职业技术学院,13003,浙江,浙江省教育厅,高职(专科),4.2
浙大城市学院,13021,浙江,浙江省教育厅,本科,4.4
浙大宁波理工学院,13022,浙江,浙江省教育厅,本科,4.2
杭州医学院,13023,浙江,浙江省教育厅,本科,4.2
浙江纺织服装职业技术学院,13025,浙江,浙江省教育厅,高职(专科),4.0
杭州科技职业技术学院,13026,浙江,浙江省教育厅,高职(专科),4.3
浙江长征职业技术学院,13027,浙江,浙江省教育厅,高职(专科),3.6
嘉兴南洋职业技术学院,13028,浙江,浙江省教育厅,高职(专科),4.0
浙江广厦建设职业技术大学,13029,浙江,浙江省教育厅,本科,3.2
杭州万向职业技术学院,13030,浙江,浙江省教育厅,高职(专科),4.1
浙江工业大学之江学院,13275,浙江,浙江省教育厅,本科,3.7
浙江师范大学行知学院,13276,浙江,浙江省教育厅,本科,4.2
宁波大学科学技术学院,13277,浙江,浙江省教育厅,本科,3.7
杭州电子科技大学信息工程学院,13279,浙江,浙江省教育厅,本科,4.2
浙江理工大学科技与艺术学院,13280,浙江,浙江省教育厅,本科,3.8
浙江农林大学暨阳学院,13283,浙江,浙江省教育厅,本科,4.2
温州医科大学仁济学院,13284,浙江,浙江省教育厅,本科,4.2
浙江中医药大学滨江学院,13285,浙江,浙江省教育厅,本科,4.0
湖州学院,13287,浙江,浙江省教育厅,本科,4.0
绍兴文理学院元培学院,13288,浙江,浙江省教育厅,本科,3.8
温州理工学院,13289,浙江,浙江省教育厅,本科,4.3
浙江工商大学杭州商学院,13290,浙江,浙江省教育厅,本科,3.9
嘉兴南湖学院,13291,浙江,浙江省教育厅,本科,4.0
中国计量大学现代科技学院,13292,浙江,浙江省教育厅,本科,4.1
浙江财经大学东方学院,13294,浙江,浙江省教育厅,本科,3.9
温州商学院,13637,浙江,浙江省教育厅,本科,4.2
浙江邮电职业技术学院,13688,浙江,浙江省教育厅,高职(专科),4.7
宁波卫生职业技术学院,13742,浙江,浙江省教育厅,高职(专科),4.1
台州科技职业学院,13746,浙江,浙江省教育厅,高职(专科),4.3
浙江国际海运职业技术学院,13853,浙江,浙江省教育厅,高职(专科),3.3
浙江体育职业技术学院,13854,浙江,浙江省教育厅,高职(专科),4.6
温州科技职业学院,14088,浙江,浙江省教育厅,高职(专科),4.0
浙江汽车职业技术学院,14089,浙江,浙江省教育厅,高职(专科),N/A
浙江横店影视职业学院,14090,浙江,浙江省教育厅,高职(专科),3.7
同济大学浙江学院,14206,浙江,浙江省教育厅,本科,4.3
上海财经大学浙江学院,14207,浙江,浙江省教育厅,本科,4.0
浙江农业商贸职业学院,14269,浙江,浙江省教育厅,高职(专科),4.3
浙江外国语学院,14275,浙江,浙江省教育厅,本科,3.7
浙江特殊教育职业学院,14431,浙江,浙江省教育厅,高职(专科),N/A
浙江安防职业技术学院,14492,浙江,浙江省教育厅,高职(专科),3.1
浙江音乐学院,14535,浙江,浙江省教育厅,本科,N/A
西湖大学,14626,浙江,浙江省教育厅,本科,N/A
浙江宇翔职业技术学院,14703,浙江,浙江省教育厅,高职(专科),N/A
浙江金华科贸职业技术学院,14746,浙江,浙江省教育厅,高职(专科),N/A
浙江药科职业大学,16207,浙江,浙江省教育厅,本科,3.6
宁波诺丁汉大学,16301,浙江,浙江省教育厅,本科,4.7
温州肯恩大学,16405,浙江,浙江省教育厅,本科,3.7
浙江舟山群岛新区旅游与健康职业学院,16408,浙江,浙江省教育厅,高职(专科),N/A
浙江大学医学院,19335,浙江,教育部,本科,N/A
宁波幼儿师范高等专科学校,50559,浙江,浙江省教育厅,高职(专科),3.8
武警海警学院,91044,浙江,中央军委训练管理部,本科,N/A
安徽大学,10357,安徽,安徽省教育厅,本科,4.4
中国科学技术大学,10358,安徽,中国科学院,本科,4.7
合肥工业大学,10359,安徽,教育部,本科,4.4
安徽工业大学,10360,安徽,安徽省教育厅,本科,4.2
安徽理工大学,10361,安徽,安徽省教育厅,本科,4.3
安徽工程大学,10363,安徽,安徽省教育厅,本科,4.2
安徽农业大学,10364,安徽,安徽省教育厅,本科,4.3
安徽医科大学,10366,安徽,安徽省教育厅,本科,3.3
蚌埠医科大学,10367,安徽,安徽省教育厅,本科,4.2
皖南医学院,10368,安徽,安徽省教育厅,本科,4.1
安徽中医药大学,10369,安徽,安徽省教育厅,本科,3.5
安徽师范大学,10370,安徽,安徽省教育厅,本科,4.3
阜阳师范大学,10371,安徽,安徽省教育厅,本科,4.2
安庆师范大学,10372,安徽,安徽省教育厅,本科,4.1
淮北师范大学,10373,安徽,安徽省教育厅,本科,4.2
黄山学院,10375,安徽,安徽省教育厅,本科,4.3
皖西学院,10376,安徽,安徽省教育厅,本科,4.3
滁州学院,10377,安徽,安徽省教育厅,本科,4.2
安徽财经大学,10378,安徽,安徽省教育厅,本科,4.3
宿州学院,10379,安徽,安徽省教育厅,本科,4.0
巢湖学院,10380,安徽,安徽省教育厅,本科,4.0
淮南师范学院,10381,安徽,安徽省教育厅,本科,4.0
铜陵学院,10383,安徽,安徽省教育厅,本科,4.2
安徽职业技术学院,10869,安徽,安徽省教育厅,高职(专科),4.2
安徽建筑大学,10878,安徽,安徽省教育厅,本科,4.3
安徽科技学院,10879,安徽,安徽省教育厅,本科,4.4
安徽三联学院,10959,安徽,安徽省教育厅,本科,3.8
淮北职业技术学院,10963,安徽,安徽省教育厅,高职(专科),3.9
合肥大学,11059,安徽,安徽省教育厅,本科,4.1
芜湖职业技术学院,11061,安徽,安徽省教育厅,高职(专科),4.4
蚌埠学院,11305,安徽,安徽省教育厅,本科,4.0
池州学院,11306,安徽,安徽省教育厅,本科,4.0
淮南联合大学,11308,安徽,安徽省教育厅,高职(专科),4.2
安徽医学高等专科学校,11961,安徽,安徽省教育厅,高职(专科),4.3
安徽中医药高等专科学校,11968,安徽,安徽省教育厅,高职(专科),4.2
安徽商贸职业技术学院,12072,安徽,安徽省教育厅,高职(专科),4.3
安徽水利水电职业技术学院,12073,安徽,安徽省教育厅,高职(专科),4.2
阜阳职业技术学院,12074,安徽,安徽省教育厅,高职(专科),4.3
安徽新华学院,12216,安徽,安徽省教育厅,本科,4.0
铜陵职业技术学院,12217,安徽,安徽省教育厅,高职(专科),4.3
民办万博科技职业学院,12218,安徽,安徽省教育厅,高职(专科),3.6
安徽警官职业学院,12219,安徽,安徽省教育厅,高职(专科),3.8
淮南职业技术学院,12220,安徽,安徽省教育厅,高职(专科),4.0
安徽工业经济职业技术学院,12334,安徽,安徽省教育厅,高职(专科),3.9
合肥通用职业技术学院,12410,安徽,安徽省教育厅,高职(专科),3.7
安徽文达信息工程学院,12810,安徽,安徽省教育厅,本科,3.9
安徽工贸职业技术学院,12811,安徽,安徽省教育厅,高职(专科),3.8
宿州职业技术学院,12812,安徽,安徽省教育厅,高职(专科),3.9
六安职业技术学院,12813,安徽,安徽省教育厅,高职(专科),3.9
安徽电子信息职业技术学院,12814,安徽,安徽省教育厅,高职(专科),4.0
民办合肥经济技术职业学院,12815,安徽,安徽省教育厅,高职(专科),3.2
安徽交通职业技术学院,12816,安徽,安徽省教育厅,高职(专科),4.1
安徽体育运动职业技术学院,12817,安徽,安徽省教育厅,高职(专科),4.3
亳州学院,12926,安徽,安徽省教育厅,本科,4.2
合肥职业技术学院,13058,安徽,安徽省教育厅,高职(专科),4.3
滁州职业技术学院,13059,安徽,安徽省教育厅,高职(专科),4.1
池州职业技术学院,13060,安徽,安徽省教育厅,高职(专科),4.0
宣城职业技术学院,13061,安徽,安徽省教育厅,高职(专科),4.2
安徽广播影视职业技术学院,13062,安徽,安徽省教育厅,高职(专科),4.2
民办合肥滨湖职业技术学院,13064,安徽,安徽省教育厅,高职(专科),3.6
安徽外国语学院,13065,安徽,安徽省教育厅,本科,3.8
安徽电气工程职业技术学院,13336,安徽,安徽省教育厅,高职(专科),4.1
安徽冶金科技职业学院,13337,安徽,安徽省教育厅,高职(专科),4.0
安徽城市管理职业学院,13338,安徽,安徽省教育厅,高职(专科),3.8
安徽机电职业技术学院,13339,安徽,安徽省教育厅,高职(专科),4.3
安徽工商职业学院,13340,安徽,安徽省教育厅,高职(专科),4.1
安徽中澳科技职业学院,13341,安徽,安徽省教育厅,高职(专科),4.1
